id,title,text,label
1,"U.S. Federal Reserve Holds Interest Rates Steady Amid Economic Growth","The Federal Reserve announced Wednesday that it will maintain current benchmark interest rates following a two-day policy meeting. Officials noted consistent job gains and low unemployment across major sectors of the economy.",REAL
2,"NASA Mars Rover Discovers Evidence of Ancient Lake Bed in Jezero Crater","Scientists analyzing data from NASA's Perseverance rover reported findings confirming that sediment layers on the floor of Jezero Crater were deposited by ancient water flows billions of years ago.",REAL
3,"World Health Organization Issues Global Update on Seasonal Flu Surveillance","The WHO published its biweekly influenza report detailing circulating strains in both hemispheres. Health ministries worldwide were advised to maintain standard vaccination drives and surveillance.",REAL
4,"Parliament Passes Historic Renewable Energy and Infrastructure Bill","Lawmakers approved comprehensive legislation aimed at modernizing the national power grid and incentivizing domestic solar and wind energy production through targeted tax credits.",REAL
5,"Supreme Court Hears Oral Arguments on Corporate Antitrust Regulations","Justices questioned attorneys regarding the scope of federal regulatory authority over major technology acquisitions and consumer market competition.",REAL
6,"Global Summit Concludes with Treaty on Marine Biodiversity Conservation","Delegates from more than 100 nations signed an agreement establishing protected international waters to safeguard ocean ecosystems and combat illegal overfishing.",REAL
7,"Treasury Department Releases Monthly Report on Employment and Trade Deficit","Government economists reported an increase of 210,000 nonfarm payroll jobs while export volumes remained resilient against foreign currency fluctuations.",REAL
8,"Astronomers Observe Distant Supernova Using James Webb Space Telescope","Using deep infrared spectroscopy, astrophysicists identified stellar remnants from a supernova explosion dating back 12 billion years into cosmic history.",REAL
9,"European Central Bank Reports Decline in Regional Inflation Metrics","Eurozone consumer price index fell to 2.4 percent annualized, marking the lowest recorded pace in two years as energy costs stabilized across member states.",REAL
10,"United Nations Dispatches Emergency Humanitarian Aid to Flood-Hit Regions","UN relief coordinators launched international supply convoys delivering clean water, medical equipment, and emergency shelter following unprecedented seasonal monsoons.",REAL
11,"City Council Approves Funding for Public Transit Modernization","Local government officials voted overwhelmingly to allocate municipal bonds toward expanding light rail networks and introducing zero-emission electric buses.",REAL
12,"Clinical Trial Shows High Efficacy for Next-Generation Malaria Treatment","Medical researchers published peer-reviewed findings demonstrating a 78 percent reduction in malaria transmission in randomized pediatric clinical trials.",REAL
13,"Tech Consortium Announces Universal Security Protocol for Smart Devices","Leading electronics manufacturers unveiled unified encryption standards designed to protect consumer IoT hardware from unauthorized remote intrusion.",REAL
14,"National Weather Service Issues Warning for Approaching Winter Blizzard","Meteorologists forecast heavy snowfall, freezing temperatures, and hazardous travel conditions across the northern plains starting Friday evening.",REAL
15,"Agricultural Department Forecasts Record Wheat Harvest Following Favorable Rainfall","Crop surveys indicate domestic wheat and grain yields will surpass previous seasonal averages, stabilizing domestic bakery supply chains.",REAL
16,"SHOCKING: Secret Underground Alien Base Found Beneath Capitol Hill","Anonymous whistleblowers reveal horrifying truth that extraterrestrial reptilians have taken full control of congressional committees and federal agencies.",FAKE
17,"MIRACLE CURE: Common Kitchen Spice Completely Eradicates All Cancers in 24 Hours","Big Pharma does not want you to know this simple baking soda and lemon concoction destroys all malignant tumor cells overnight without chemotherapy.",FAKE
18,"Government Confirms Microchips Secretly Installed in All Tap Water Supplies","Leaked documents expose globalist scheme to monitor brainwaves and track citizens by dispersing invisible nanobot transmitters into municipal drinking pipes.",FAKE
19,"Hollywood Celebrity Arrested in High-Stakes Underground Illuminati Cult Ritual","Unbelievable video evidence emerges showing A-list movie star leading forbidden satanic ceremony inside top secret subterranean bunker.",FAKE
20,"Scientists Admit Earth is Actually Flat and Photos from Orbit Were Staged in Studio","NASA insiders confess that 50 years of space travel footage was filmed on Hollywood soundstages to conceal the massive Antarctic ice dome wall.",FAKE
21,"Breaking: President Signs Secret Executive Order Abolishing Next General Election","Patriot whistleblowers expose confidential presidential directive declaring perpetual state of emergency to suspend all constitutional voting rights.",FAKE
22,"Drinking Raw Bleach Proven 100 Percent Effective Against Deadly Viruses","Underground medical researchers claim drinking diluted chemical disinfectant cleanses bloodstream instantly while corrupt medical boards suppress the cure.",FAKE
23,"Ancient 10,000-Year-Old Giant Human Skeletons Unearthed in Egypt Suppressed by Museum","Archaeologists excavating desert tombs discovered 20-foot tall humanoid skeletons before military officers seized all evidence and sealed the site.",FAKE
24,"Cell Phone 5G Towers Secretly Emitting Frequencies that Control Human Emotions","Whistleblower technician reveals telecommunications towers are weaponized frequency transmitters designed to induce mass obedience and panic.",FAKE
25,"Pope Francis Endorses Secret Billionaire Crypto Trading Bot on Live Television","Vatican officials stunned as pontiff reveals automated trading algorithm generating millions of dollars in guaranteed daily profits for ordinary citizens.",FAKE
26,"Billionaire Tech Mogul Builds Space Ark to Escape Impending Doomsday Asteroid","Exclusive insider leak proves tech oligarchs are secretly preparing to abandon civilization before massive celestial collision strikes Earth next month.",FAKE
27,"Drinking Boiled Garlic Water Completely Immune to All Hospital Bacteria Infections","Ancient Himalayan monks reveal single cup of garlic clove broth neutralizes superbug pathogens instantly without needing antibiotics.",FAKE
28,"FBI Whistleblower Claims Moon is Hollow Alien Surveillance Satellite","Shocking declassified papers suggest the Moon was artificially placed into Earth orbit by hostile cosmic entities observing human civilization.",FAKE
29,"Military Confirms Cloning Facility Operating Under Abandoned Supermarket","Eyewitnesses report seeing identical biological duplicates of prominent political figures entering secure underground military freight elevators.",FAKE
30,"Government Agents Replace All Pigeons with Solar Powered Surveillance Drones","Secret patent filings reveal common city birds were completely replaced by robotic surveillance units equipped with facial recognition cameras.",FAKE
